generation,avg_fitness,max_fitness,signals_emitted,iconicity,mutual_info,jsd_no_pred,jsd_pred,silence_corr,sender_fit_corr,traj_fluct_ratio,receiver_fit_corr,response_fit_corr,silence_onset_jsd,silence_move_delta,avg_base_hidden,min_base_hidden,max_base_hidden,avg_signal_hidden,min_signal_hidden,max_signal_hidden,zone_deaths,signal_entropy,freeze_zone_deaths,food_mi
680,734.0,1550.0,147958,0.5034,0.0005,0.0912,0.0909,0.0719,0.0070,1.1240,0.7391,0.0448,0.0000,0.0000,4.2,4,5,3.4,2,6,228,0.5657,143,0.0000
690,808.5,1760.4,156024,0.5496,0.0003,0.1096,0.0733,0.1088,0.0295,1.1309,0.7140,0.0416,0.0000,0.0000,4.2,4,6,3.4,2,6,214,0.4635,117,0.0000
700,744.4,1750.0,145214,0.4792,0.0004,0.1109,0.1170,-0.0156,0.0302,1.1212,0.6801,0.1128,0.0000,0.0000,4.2,4,6,3.3,2,6,201,0.5115,127,0.0000
710,743.9,1850.0,147115,0.5073,0.0008,0.1303,0.0479,0.1431,0.0343,1.1143,0.7109,0.0640,0.0000,0.0000,4.1,4,5,3.7,2,6,225,0.5620,129,0.0000
720,799.7,1750.0,151869,0.5211,0.0002,0.0372,0.0611,0.0270,0.0405,1.0937,0.7545,0.0820,0.0000,0.0000,4.1,4,5,3.7,2,6,192,0.5710,127,0.0000
730,746.5,1550.0,147400,0.4965,0.0004,0.0466,0.0510,0.1850,0.0000,1.0611,0.7960,0.0662,0.0000,0.0000,4.1,4,6,4.0,2,6,220,0.5930,110,0.0000
740,768.8,1800.0,146767,0.5132,0.0003,0.0578,0.0701,0.1944,0.0443,1.0784,0.7804,0.0634,0.0000,0.0000,4.1,4,6,4.5,2,6,244,0.7000,131,0.0000
750,734.1,1850.0,142808,0.5096,0.0003,0.0674,0.0491,0.0800,0.0473,1.0834,0.8157,-0.0189,0.0000,0.0000,4.2,4,6,4.5,2,6,229,0.7460,108,0.0000
760,795.1,1700.0,144326,0.5749,0.0001,0.0848,0.0933,0.1400,0.0000,1.0829,0.7980,0.0536,0.0000,0.0000,4.2,4,6,4.5,2,6,287,0.7466,161,0.0000
770,729.0,1750.0,140391,0.4831,0.0005,0.0866,0.0806,0.0765,0.0000,0.5950,0.7509,-0.0389,0.0000,0.0000,4.2,4,6,4.5,2,6,231,0.8253,132,0.0000
780,769.3,1550.0,146682,0.4792,0.0004,0.0661,0.1304,0.0154,0.0352,0.5997,0.7335,0.0807,0.0000,0.0000,4.2,4,6,5.1,2,6,209,0.8451,135,0.0000
790,768.4,1850.0,146857,0.5239,0.0001,0.0777,0.0921,0.1617,-0.0260,0.5867,0.6956,0.0293,0.0000,0.0000,4.3,4,6,4.6,2,6,253,0.8028,163,0.0000
800,822.6,1700.0,149602,0.5396,0.0001,0.0840,0.0941,0.1764,0.0479,0.6035,0.7207,0.1025,0.0000,0.0000,4.2,4,6,4.3,2,6,245,0.7524,130,0.0000
810,801.8,1580.4,148502,0.5593,0.0000,0.0728,0.0710,0.0617,0.0259,0.6272,0.7394,0.0474,0.0000,0.0000,4.3,4,6,4.3,2,6,236,0.7646,142,0.0000
820,752.6,1700.0,143393,0.5263,0.0001,0.0998,0.0794,0.0951,0.0000,0.6489,0.7876,-0.0104,0.0000,0.0000,4.2,4,6,4.1,2,6,261,0.7369,168,0.0000
830,786.6,1600.0,146035,0.4814,0.0027,0.1852,0.0870,0.1106,0.0546,0.6589,0.7843,0.0077,0.0000,0.0000,4.3,4,6,4.1,2,6,252,0.7693,129,0.0000
840,739.9,1600.0,144900,0.4296,0.0019,0.1010,0.1143,0.0234,0.0077,0.7586,0.7589,0.0470,0.0000,0.0000,4.3,4,6,4.1,2,6,225,0.7371,162,0.0000
850,805.9,1700.0,144530,0.5187,0.0003,0.0377,0.0356,0.2178,0.0000,0.9277,0.8057,0.0756,0.0000,0.0000,4.3,4,6,4.2,2,6,257,0.7973,139,0.0000
860,823.1,1800.0,156911,0.5374,0.0003,0.0449,0.0657,0.0518,0.0000,0.9380,0.7363,0.0913,0.0000,0.0000,4.3,4,6,4.4,2,6,209,0.9466,91,0.0000
870,779.3,1750.0,146187,0.4683,0.0006,0.0233,0.0472,0.1350,0.0453,0.8185,0.7750,0.1391,0.0000,0.0000,4.3,4,6,4.6,2,6,229,0.9604,115,0.0000
880,811.4,1700.0,152045,0.5262,0.0002,0.0353,0.0510,0.1746,0.0486,0.8189,0.7885,-0.0449,0.0000,0.0000,4.3,4,6,4.6,2,6,244,0.9395,101,0.0000
890,801.2,1800.0,153516,0.4639,0.0006,0.0568,0.1018,0.0153,0.0565,0.8165,0.7729,-0.0148,0.0000,0.0000,4.5,4,6,4.4,2,6,205,0.8895,113,0.0000
900,784.2,1700.0,146241,0.5339,0.0001,0.0486,0.0757,0.1653,0.0555,0.8238,0.6715,0.1429,0.0000,0.0000,4.3,4,6,4.5,2,6,235,0.8602,115,0.0000
910,782.3,1750.0,146002,0.5184,0.0005,0.0912,0.0967,0.0875,0.0000,0.7881,0.8014,-0.0056,0.0000,0.0000,4.3,4,6,4.2,2,6,234,0.6768,149,0.0000
920,796.2,1850.0,152014,0.5066,0.0004,0.0782,0.0586,0.1185,0.0603,0.7485,0.7426,-0.0878,0.0000,0.0000,4.3,4,6,4.1,2,6,203,0.5524,122,0.0000
930,777.8,1650.0,149312,0.5223,0.0002,0.1935,0.1307,0.1466,0.0000,0.7335,0.6765,0.0107,0.0000,0.0000,4.3,4,6,4.2,2,6,224,0.5209,146,0.0000
940,750.7,1946.1,154253,0.4115,0.0007,0.1430,0.0870,-0.0810,0.0992,0.7158,0.7536,-0.0243,0.0000,0.0000,4.3,4,7,4.0,2,6,155,0.5028,118,0.0000
950,734.3,1700.0,143126,0.4897,0.0005,0.0805,0.0809,0.0919,0.0603,0.3696,0.7962,0.0697,0.0000,0.0000,4.3,4,6,3.8,2,6,232,0.4970,155,0.0000
