generation,mi_zone_damage,mi_energy_delta,mi_freeze_pressure,mi_food_dx,mi_food_dy,mi_food_dist,mi_ally_dx,mi_ally_dy,mi_ally_dist,mi_sig0_str,mi_sig0_dx,mi_sig0_dy,mi_sig1_str,mi_sig1_dx,mi_sig1_dy,mi_sig2_str,mi_sig2_dx,mi_sig2_dy,mi_sig3_str,mi_sig3_dx,mi_sig3_dy,mi_sig4_str,mi_sig4_dx,mi_sig4_dy,mi_sig5_str,mi_sig5_dx,mi_sig5_dy,mi_mem0,mi_mem1,mi_mem2,mi_mem3,mi_mem4,mi_mem5,mi_mem6,mi_mem7,mi_energy,mi_death_nearby,mi_death_dx,mi_death_dy
420,0.0056,0.0008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0131,0.0091,0.0111,0.0000,0.0193,0.0222,0.0161,0.0097,0.0102,0.0547,0.0080,0.0091,0.0040,0.0019,0.0039,0.0066,0.0026,0.0048,0.0092,0.0077,0.0201,0.0051,0.0281,0.0097,0.0097,0.0030,0.0046,0.0000,0.0000,0.0000
430,0.0073,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0133,0.0074,0.0069,0.0000,0.0144,0.0126,0.0064,0.0037,0.0040,0.0490,0.0297,0.0339,0.0074,0.0059,0.0034,0.0061,0.0034,0.0041,0.0065,0.0031,0.0173,0.0071,0.0175,0.0046,0.0169,0.0060,0.0030,0.0000,0.0000,0.0000
440,0.0034,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0019,0.0017,0.0032,0.0000,0.0154,0.0173,0.0174,0.0114,0.0106,0.0402,0.0300,0.0258,0.0182,0.0079,0.0107,0.0093,0.0051,0.0077,0.0091,0.0059,0.0226,0.0032,0.0203,0.0055,0.0075,0.0068,0.0025,0.0000,0.0000,0.0000
450,0.0042,0.0014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0039,0.0022,0.0030,0.0000,0.0114,0.0131,0.0230,0.0126,0.0129,0.0334,0.0214,0.0222,0.0160,0.0074,0.0081,0.0096,0.0053,0.0057,0.0090,0.0050,0.0101,0.0108,0.0101,0.0083,0.0055,0.0080,0.0027,0.0000,0.0000,0.0000
460,0.0056,0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0048,0.0034,0.0044,0.0000,0.0162,0.0167,0.0111,0.0049,0.0067,0.0579,0.0399,0.0372,0.0398,0.0163,0.0186,0.0038,0.0030,0.0031,0.0129,0.0029,0.0063,0.0047,0.0080,0.0097,0.0104,0.0101,0.0021,0.0000,0.0000,0.0000
470,0.0064,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0048,0.0031,0.0034,0.0000,0.0164,0.0180,0.0335,0.0187,0.0178,0.0467,0.0372,0.0374,0.0159,0.0083,0.0094,0.0098,0.0086,0.0072,0.0174,0.0079,0.0132,0.0081,0.0173,0.0049,0.0047,0.0151,0.0018,0.0000,0.0000,0.0000
480,0.0068,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0439,0.0363,0.0275,0.0000,0.0272,0.0241,0.0228,0.0094,0.0108,0.0293,0.0278,0.0320,0.0141,0.0070,0.0074,0.0221,0.0139,0.0144,0.0038,0.0118,0.0112,0.0065,0.0115,0.0068,0.0130,0.0196,0.0021,0.0000,0.0000,0.0000
490,0.0123,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0206,0.0170,0.0219,0.0000,0.0257,0.0257,0.0189,0.0091,0.0108,0.0412,0.0370,0.0399,0.0187,0.0090,0.0104,0.0182,0.0140,0.0166,0.0109,0.0064,0.0100,0.0053,0.0040,0.0051,0.0032,0.0084,0.0017,0.0000,0.0000,0.0000
500,0.0045,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0047,0.0041,0.0027,0.0000,0.0248,0.0259,0.0166,0.0128,0.0086,0.0506,0.0260,0.0275,0.0417,0.0242,0.0186,0.0131,0.0101,0.0070,0.0066,0.0052,0.0068,0.0076,0.0106,0.0059,0.0108,0.0103,0.0022,0.0000,0.0000,0.0000
510,0.0031,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0001,0.0005,0.0000,0.0201,0.0183,0.0115,0.0063,0.0059,0.0507,0.0335,0.0275,0.0017,0.0004,0.0009,0.0020,0.0009,0.0029,0.0026,0.0014,0.0047,0.0025,0.0034,0.0020,0.0015,0.0048,0.0014,0.0000,0.0000,0.0000
