generation,s0d0,s0d1,s0d2,s0d3,s1d0,s1d1,s1d2,s1d3,s2d0,s2d1,s2d2,s2d3,s3d0,s3d1,s3d2,s3d3,s4d0,s4d1,s4d2,s4d3,s5d0,s5d1,s5d2,s5d3,jsd_sym0,jsd_sym1,jsd_sym2,jsd_sym3,jsd_sym4,jsd_sym5,trajectory_jsd,contrast_01,contrast_02,contrast_03,contrast_04,contrast_05,contrast_12,contrast_13,contrast_14,contrast_15,contrast_23,contrast_24,contrast_25,contrast_34,contrast_35,contrast_45
600,120,145,0,0,63,287,5,0,139,411,4,0,277,470,1,0,89,115,0,0,114,448,0,0,0.0004,0.0002,0.0001,0.0002,0.0006,0.0001,0.0140,0.0487,0.0246,0.0039,0.0001,0.0361,0.0044,0.0261,0.0440,0.0053,0.0092,0.0213,0.0043,0.0027,0.0179,0.0319
610,35,39,0,0,81,240,0,0,94,260,1,0,111,338,1,0,84,199,6,0,224,605,0,0,0.0016,0.0019,0.0024,0.0017,0.0019,0.0016,0.0066,0.0266,0.0243,0.0287,0.0236,0.0222,0.0011,0.0008,0.0085,0.0002,0.0002,0.0045,0.0010,0.0059,0.0011,0.0077
620,50,95,0,0,179,503,0,0,253,455,0,0,366,918,0,0,315,670,0,0,671,1270,0,0,0.0010,0.0023,0.0023,0.0014,0.0014,0.0016,0.0045,0.0040,0.0001,0.0021,0.0004,0.0000,0.0053,0.0003,0.0020,0.0041,0.0030,0.0008,0.0001,0.0007,0.0021,0.0004
630,175,324,0,0,70,383,2,0,336,719,11,0,654,893,6,0,119,339,1,0,298,812,2,0,0.0053,0.0064,0.0059,0.0051,0.0065,0.0059,0.0056,0.0275,0.0042,0.0041,0.0056,0.0046,0.0194,0.0449,0.0087,0.0101,0.0066,0.0035,0.0032,0.0149,0.0134,0.0001
640,192,524,1,0,71,126,0,0,191,620,3,0,295,727,0,0,302,563,0,0,455,1096,0,0,0.0102,0.0125,0.0117,0.0089,0.0102,0.0096,0.0095,0.0054,0.0010,0.0007,0.0043,0.0009,0.0106,0.0029,0.0001,0.0026,0.0031,0.0091,0.0034,0.0021,0.0000,0.0018
650,53,73,1,0,239,509,4,0,495,731,8,0,201,264,2,0,63,133,0,0,167,373,2,0,0.0035,0.0048,0.0044,0.0041,0.0072,0.0042,0.0080,0.0056,0.0002,0.0003,0.0080,0.0071,0.0039,0.0068,0.0018,0.0001,0.0005,0.0059,0.0050,0.0080,0.0081,0.0014
660,195,278,0,0,96,203,2,0,279,493,0,0,237,460,1,0,317,539,0,0,188,344,0,0,0.0077,0.0095,0.0098,0.0085,0.0103,0.0084,0.0024,0.0068,0.0014,0.0033,0.0009,0.0018,0.0032,0.0011,0.0036,0.0029,0.0007,0.0000,0.0000,0.0010,0.0006,0.0002
670,166,332,0,0,238,359,0,0,338,512,0,0,105,258,0,0,98,205,0,0,467,813,0,0,0.0191,0.0206,0.0208,0.0208,0.0213,0.0179,0.0021,0.0023,0.0022,0.0011,0.0001,0.0005,0.0000,0.0067,0.0031,0.0006,0.0065,0.0030,0.0006,0.0007,0.0033,0.0010
680,150,453,0,0,216,521,0,0,581,992,0,0,65,130,0,0,83,163,0,0,277,432,0,0,0.0123,0.0137,0.0142,0.0173,0.0159,0.0139,0.0021,0.0012,0.0086,0.0043,0.0048,0.0117,0.0033,0.0009,0.0011,0.0053,0.0007,0.0006,0.0002,0.0000,0.0018,0.0015
690,57,96,0,0,252,473,0,0,526,996,1,0,641,1464,6,0,238,187,0,0,351,760,0,0,0.0169,0.0179,0.0184,0.0164,0.0196,0.0175,0.0068,0.0003,0.0006,0.0036,0.0178,0.0018,0.0002,0.0020,0.0229,0.0006,0.0013,0.0236,0.0007,0.0346,0.0011,0.0306
