    Finished `release` profile [optimized] target(s) in 0.03s
     Running `target\release\semiotic-emergence.exe 42 10000`
gen 1400 | avg    18.6 | max    56.0 | signals 735 | icon -0.024 | MI 0.002 | jsd 0.065/0.604 | sym [0.000,0.693,0.179] | sil -0.401
gen 1410 | avg    25.4 | max    64.0 | signals 1127 | icon -0.021 | MI 0.000 | jsd 0.103/0.401 | sym [0.000,0.000,0.152] | sil -0.454
gen 1420 | avg    20.9 | max    73.0 | signals 805 | icon -0.026 | MI 0.002 | jsd 0.130/0.495 | sym [0.030,0.000,0.198] | sil -0.199
gen 1430 | avg    19.5 | max    49.0 | signals 726 | icon -0.029 | MI 0.002 | jsd 0.118/0.583 | sym [0.000,0.693,0.182] | sil -0.484
gen 1440 | avg    22.2 | max    77.0 | signals 805 | icon -0.040 | MI 0.006 | jsd 0.091/0.625 | sym [0.000,0.693,0.188] | sil -0.469
gen 1450 | avg    17.9 | max    46.0 | signals 730 | icon -0.041 | MI 0.002 | jsd 0.288/0.455 | sym [0.000,0.642,0.300] | sil -0.427
gen 1460 | avg    21.8 | max    59.0 | signals 805 | icon -0.030 | MI 0.002 | jsd 0.461/0.363 | sym [0.000,0.642,0.239] | sil -0.442
gen 1470 | avg    18.7 | max    59.0 | signals 696 | icon -0.029 | MI 0.000 | jsd 0.096/0.585 | sym [0.000,0.000,0.193] | sil -0.490
gen 1480 | avg    27.6 | max    76.0 | signals 1055 | icon -0.016 | MI 0.001 | jsd 0.404/0.616 | sym [0.000,0.693,0.183] | sil -0.437
gen 1490 | avg    21.4 | max    50.0 | signals 785 | icon -0.043 | MI 0.002 | jsd 0.097/0.600 | sym [0.000,0.693,0.191] | sil -0.144
gen 1500 | avg    18.0 | max    35.0 | signals 723 | icon -0.040 | MI 0.004 | jsd 0.116/0.264 | sym [0.045,0.045,0.206] | sil -0.307
gen 1510 | avg    27.0 | max    78.0 | signals 1095 | icon -0.024 | MI 0.002 | jsd 0.148/0.574 | sym [0.000,0.693,0.169] | sil -0.369
gen 1520 | avg    17.7 | max    45.0 | signals 660 | icon -0.052 | MI 0.004 | jsd 0.121/0.467 | sym [0.000,0.562,0.206] | sil -0.151
gen 1530 | avg    20.5 | max    52.0 | signals 853 | icon -0.056 | MI 0.000 | jsd 0.033/0.548 | sym [0.000,0.000,0.108] | sil -0.316
gen 1540 | avg    16.3 | max    48.0 | signals 654 | icon -0.018 | MI 0.001 | jsd 0.355/0.546 | sym [0.000,0.649,0.098] | sil -0.082
gen 1550 | avg    22.1 | max    90.0 | signals 810 | icon -0.049 | MI 0.005 | jsd 0.389/0.614 | sym [0.000,0.693,0.151] | sil -0.240
gen 1560 | avg    28.3 | max    74.0 | signals 937 | icon -0.026 | MI 0.006 | jsd 0.396/0.490 | sym [0.000,0.589,0.172] | sil -0.414
gen 1570 | avg    17.8 | max    41.0 | signals 652 | icon -0.026 | MI 0.004 | jsd 0.393/0.515 | sym [0.000,0.628,0.187] | sil 0.030
gen 1580 | avg    27.4 | max    77.0 | signals 1057 | icon -0.036 | MI 0.000 | jsd 0.164/0.378 | sym [0.000,0.000,0.193] | sil -0.219
gen 1590 | avg    17.4 | max    45.0 | signals 736 | icon -0.038 | MI 0.005 | jsd 0.156/0.599 | sym [0.000,0.693,0.210] | sil -0.464
gen 1600 | avg    20.9 | max    52.0 | signals 773 | icon -0.039 | MI 0.002 | jsd 0.525/0.560 | sym [0.000,0.642,0.385] | sil -0.151
gen 1610 | avg    18.1 | max    53.0 | signals 741 | icon -0.043 | MI 0.000 | jsd 0.358/0.637 | sym [0.000,0.000,0.405] | sil -0.364
gen 1620 | avg    23.4 | max    70.0 | signals 913 | icon -0.032 | MI 0.000 | jsd 0.122/0.378 | sym [0.000,0.000,0.157] | sil -0.424
gen 1630 | avg    34.4 | max    86.0 | signals 1433 | icon -0.032 | MI 0.000 | jsd 0.145/0.603 | sym [0.000,0.000,0.230] | sil -0.326
gen 1640 | avg    24.0 | max    70.0 | signals 1024 | icon -0.034 | MI 0.004 | jsd 0.184/0.620 | sym [0.000,0.693,0.229] | sil -0.302
gen 1650 | avg    20.8 | max    67.0 | signals 849 | icon -0.027 | MI 0.026 | jsd 0.243/0.486 | sym [0.000,0.532,0.180] | sil -0.332
gen 1660 | avg    21.4 | max    63.0 | signals 785 | icon -0.071 | MI 0.005 | jsd 0.230/0.434 | sym [0.000,0.336,0.234] | sil -0.338
gen 1670 | avg    25.7 | max    83.0 | signals 974 | icon -0.039 | MI 0.050 | jsd 0.191/0.362 | sym [0.000,0.308,0.199] | sil -0.475
gen 1680 | avg    19.4 | max    46.0 | signals 750 | icon -0.055 | MI 0.054 | jsd 0.326/0.571 | sym [0.000,0.530,0.280] | sil -0.394
gen 1690 | avg    27.4 | max    68.0 | signals 1077 | icon -0.020 | MI 0.046 | jsd 0.423/0.562 | sym [0.000,0.645,0.248] | sil -0.368
gen 1700 | avg    36.2 | max    78.0 | signals 1488 | icon -0.037 | MI 0.127 | jsd 0.302/0.574 | sym [0.000,0.535,0.251] | sil -0.173
gen 1710 | avg    20.4 | max    66.0 | signals 799 | icon -0.063 | MI 0.058 | jsd 0.336/0.229 | sym [0.000,0.310,0.236] | sil -0.554
gen 1720 | avg    28.1 | max    93.0 | signals 1131 | icon -0.033 | MI 0.028 | jsd 0.255/0.471 | sym [0.000,0.353,0.228] | sil -0.307
