generation,avg_fitness,max_fitness,signals_emitted,iconicity,mutual_info,jsd_no_pred,jsd_pred,silence_corr,sender_fit_corr,traj_fluct_ratio,receiver_fit_corr,response_fit_corr,silence_onset_jsd,silence_move_delta,avg_base_hidden,min_base_hidden,max_base_hidden,avg_signal_hidden,min_signal_hidden,max_signal_hidden,zone_deaths,signal_entropy,freeze_zone_deaths
9620,988.0,1850.0,159901,0.4723,0.0008,0.1166,0.0480,0.0951,0.0000,4.8639,0.7714,0.0000,0.0000,0.0000,11.1,9,13,5.6,2,9,211,1.2219,120
9630,990.5,1950.0,164235,0.4524,0.0001,0.1189,0.0387,0.1054,0.1206,4.4727,0.7156,0.0000,0.0000,0.0000,11.3,10,13,6.1,3,10,198,1.2282,104
9640,930.7,2200.0,152567,0.5735,0.0002,0.0802,0.0700,0.1636,0.0000,4.3820,0.7409,0.0000,0.0000,0.0000,11.5,10,13,5.6,2,9,225,1.2429,103
9650,1015.4,2100.0,158314,0.5325,0.0003,0.0684,0.0281,0.1319,0.0000,4.1840,0.7735,0.0000,0.0000,0.0000,11.3,10,14,5.2,2,9,226,1.0569,112
9660,972.6,2050.0,156756,0.5088,0.0002,0.0876,0.0399,0.1153,0.0000,4.1695,0.7525,0.0000,0.0000,0.0000,11.1,10,13,5.7,2,8,193,1.2149,117
9670,1045.9,2000.0,164165,0.5305,0.0001,0.0959,0.0584,0.1615,0.0000,4.1076,0.7937,0.0000,0.0000,0.0000,11.1,10,13,5.8,2,8,191,1.1012,102
9680,1075.0,2050.0,160421,0.5699,0.0003,0.0986,0.0796,0.1164,0.0000,3.3972,0.7798,0.0000,0.0000,0.0000,11.2,9,13,5.6,2,10,207,0.9740,109
9690,994.2,2000.0,164515,0.5425,0.0003,0.0797,0.1047,0.0955,0.0000,2.5575,0.7140,0.0000,0.0000,0.0000,11.2,9,13,5.7,3,10,178,1.0119,97
9700,1049.6,2050.0,165171,0.5195,0.0001,0.1300,0.0672,0.1481,0.0000,1.9125,0.7175,0.0000,0.0000,0.0000,11.1,9,13,4.8,2,9,184,0.7005,116
9710,1031.9,2293.6,158208,0.5405,0.0001,0.0963,0.0726,0.1151,0.0000,1.8395,0.7123,0.0000,0.0000,0.0000,11.1,9,13,4.9,2,10,201,0.7445,111
9720,1051.7,2100.0,165477,0.5934,0.0006,0.1198,0.0890,0.0657,0.0000,1.9103,0.7507,0.0000,0.0000,0.0000,11.2,9,14,4.3,2,9,191,0.4914,76
9730,956.8,2191.2,155314,0.5017,0.0008,0.1695,0.0908,0.0880,0.0000,1.9541,0.7272,0.0000,0.0000,0.0000,11.3,10,13,4.1,2,7,201,0.2858,74
9740,1028.7,1950.0,170652,0.4487,0.0000,0.1367,0.1411,0.0647,0.0000,4.8416,0.6826,0.0000,0.0000,0.0000,11.1,10,13,3.9,2,7,136,0.3125,73
9750,1018.4,1844.0,161962,0.5397,0.0001,0.1567,0.1438,0.0937,0.0682,5.3403,0.7635,0.0000,0.0000,0.0000,11.2,10,13,3.9,2,9,189,0.4521,98
9760,993.2,1900.0,158693,0.5976,0.0001,0.1132,0.1119,0.0193,0.0000,5.2042,0.7894,0.0000,0.0000,0.0000,11.2,10,13,4.0,2,10,202,0.3775,111
9770,981.0,2000.0,167587,0.4657,0.0004,0.1144,0.1125,-0.0890,0.0000,5.1291,0.6823,0.0000,0.0000,0.0000,11.3,10,13,4.0,2,8,143,0.1607,95
9780,1046.9,1950.0,165802,0.5178,0.0000,0.1044,0.1360,-0.0408,0.0560,5.2214,0.6435,0.0000,0.0000,0.0000,11.3,10,13,3.7,2,6,183,0.1877,67
9790,949.9,2100.0,160622,0.5410,0.0000,0.2123,0.1856,0.1439,0.0000,16.1985,0.6379,0.0000,0.0000,0.0000,11.3,10,13,3.9,2,7,196,0.2228,73
9800,954.2,1950.0,157952,0.4966,0.0002,0.1202,0.1583,0.1316,0.0000,19.8247,0.7229,0.0000,0.0000,0.0000,11.4,10,13,4.5,2,7,196,0.3155,83
9810,1034.7,1900.0,160864,0.4176,0.0003,0.1602,0.1427,0.0262,0.0000,19.3598,0.6889,0.0000,0.0000,0.0000,11.5,10,14,4.3,2,8,172,0.4627,98
9820,937.2,1950.0,156211,0.4528,0.0001,0.1399,0.1633,0.0102,0.0293,19.3011,0.7061,0.0000,0.0000,0.0000,11.3,10,13,4.2,2,8,199,0.3500,121
9830,928.8,2250.0,149819,0.4366,0.0003,0.1434,0.1554,0.0573,0.0000,18.4136,0.6076,0.0000,0.0000,0.0000,11.3,9,13,4.3,2,9,205,0.6059,78
9840,975.4,1950.0,154679,0.4551,0.0002,0.1528,0.1270,-0.0760,0.0000,19.1185,0.5804,0.0000,0.0000,0.0000,11.3,9,14,3.9,2,9,229,0.4130,110
9850,1083.2,2050.0,169349,0.5475,0.0001,0.1221,0.1150,-0.1106,0.0984,19.5607,0.7475,0.0000,0.0000,0.0000,11.3,10,13,4.0,2,10,152,0.3468,103
9860,961.7,1950.0,158811,0.4570,0.0000,0.1390,0.1295,0.1321,0.0000,19.7407,0.7706,0.0000,0.0000,0.0000,11.3,10,13,4.0,2,9,196,0.3500,130
9870,935.7,1900.0,153924,0.5034,0.0002,0.1424,0.1398,0.0277,0.0000,19.9140,0.6962,0.0000,0.0000,0.0000,11.4,10,13,4.1,2,11,216,0.3908,94
9880,1020.0,2250.0,160534,0.5490,0.0001,0.1635,0.1630,-0.0170,0.0000,19.8702,0.7617,0.0000,0.0000,0.0000,11.5,10,14,4.6,2,11,201,0.6884,98
9890,1020.8,2100.0,156188,0.4667,0.0001,0.1966,0.1656,0.0935,0.0000,15.1592,0.6738,0.0000,0.0000,0.0000,11.6,10,14,4.3,2,11,222,0.3990,105
9900,918.0,1950.0,155468,0.5179,0.0001,0.1260,0.1529,0.0311,0.0000,7.7782,0.6546,0.0000,0.0000,0.0000,11.4,10,13,4.5,2,12,204,0.3884,82
9910,951.7,1850.0,153684,0.4503,0.0002,0.1373,0.1077,0.1150,0.0000,4.8594,0.6600,0.0000,0.0000,0.0000,11.4,10,13,4.8,2,12,220,0.3131,108
9920,953.2,2337.6,160101,0.5582,0.0001,0.1503,0.1494,0.1206,0.0522,4.8836,0.7613,0.0000,0.0000,0.0000,11.3,9,13,5.0,2,8,209,0.4249,101
9930,1007.7,1900.0,161282,0.4924,0.0001,0.1379,0.1779,0.0157,0.0000,1.5583,0.7518,0.0000,0.0000,0.0000,11.3,9,13,4.9,2,7,173,0.2705,104
9940,894.4,1950.0,150485,0.4560,0.0000,0.1532,0.1372,0.0414,0.0557,1.7074,0.7508,0.0000,0.0000,0.0000,11.2,10,13,4.8,2,8,224,0.3243,93
9950,926.3,1750.0,159518,0.5726,0.0001,0.1589,0.1568,-0.0332,0.0065,2.1516,0.7896,0.0000,0.0000,0.0000,11.6,10,14,4.9,2,8,227,0.7790,97
9960,1029.6,2100.0,159674,0.5126,0.0001,0.1576,0.1287,0.2344,0.0000,2.2553,0.7181,0.0000,0.0000,0.0000,11.6,10,14,5.3,2,8,204,0.7637,94
9970,962.6,2250.0,157775,0.5261,0.0000,0.1704,0.1862,-0.0565,0.0000,2.3132,0.7090,0.0000,0.0000,0.0000,11.6,9,14,5.9,2,9,220,0.8779,123
9980,1018.2,2200.0,158558,0.5188,0.0009,0.1511,0.1381,0.0636,0.0000,2.2836,0.6440,0.0000,0.0000,0.0000,11.5,9,14,5.5,2,9,205,0.9279,103
9990,976.9,1900.0,155809,0.5083,0.0002,0.1618,0.1871,0.1511,0.0000,2.3675,0.7171,0.0000,0.0000,0.0000,11.5,9,15,5.9,2,9,220,1.0610,105
10000,979.8,2000.0,155037,0.5174,0.0003,0.1545,0.1679,0.1283,0.0000,2.4409,0.7475,0.0000,0.0000,0.0000,11.8,10,14,5.9,2,11,218,1.0298,85
10010,956.0,1950.0,157222,0.5584,0.0005,0.1765,0.1566,0.1176,0.0000,2.4432,0.7349,0.0000,0.0000,0.0000,11.7,10,14,5.4,2,11,211,0.9432,104
10020,1020.7,2000.0,160524,0.5071,0.0002,0.1354,0.1251,-0.0077,0.0000,2.2558,0.7382,0.0000,0.0000,0.0000,11.6,10,14,6.4,2,12,203,1.1595,117
10030,936.8,2100.0,148541,0.5306,0.0005,0.1392,0.1398,0.1856,0.0000,2.1717,0.7858,0.0000,0.0000,0.0000,11.7,10,14,6.6,2,12,245,1.2133,162
10040,961.3,2100.0,153223,0.5315,0.0001,0.1452,0.1514,0.0306,0.0000,2.1666,0.6950,0.0000,0.0000,0.0000,11.7,10,14,6.7,2,11,231,1.2488,116
10050,962.0,1900.0,158558,0.5391,0.0001,0.1406,0.1452,0.1994,0.0000,1.4716,0.7075,0.0000,0.0000,0.0000,11.5,10,13,6.9,2,11,211,1.2305,110
10060,1068.6,2100.0,164398,0.5668,0.0000,0.1394,0.1372,0.0669,0.0000,0.4612,0.6947,0.0000,0.0000,0.0000,11.7,9,14,6.7,2,11,200,1.2456,99
10070,976.5,2000.0,158577,0.5891,0.0002,0.1282,0.1104,0.1511,0.0485,0.4913,0.7461,0.0000,0.0000,0.0000,11.7,10,13,7.1,2,11,220,1.2512,103
10080,1026.7,2300.0,158332,0.4582,0.0004,0.1161,0.1158,0.0817,0.0000,3.4462,0.6695,0.0000,0.0000,0.0000,11.7,9,14,6.8,2,12,178,1.1797,125
10090,1076.0,2000.0,163120,0.4334,0.0001,0.0913,0.1274,0.0830,0.0000,3.4568,0.7716,0.0000,0.0000,0.0000,11.8,9,14,7.1,2,12,204,1.2917,108
10100,1034.4,2150.0,163501,0.5343,0.0001,0.1020,0.1329,0.1631,0.0000,3.4486,0.5849,0.0000,0.0000,0.0000,11.7,9,15,8.5,2,12,185,1.0815,88
10110,1006.0,1900.0,164770,0.5663,0.0002,0.1013,0.0864,0.0851,0.0793,3.4407,0.7204,0.0000,0.0000,0.0000,11.8,10,14,8.3,2,13,184,1.1425,107
10120,1041.8,1950.0,166608,0.4100,0.0005,0.1304,0.0913,0.0705,0.0000,5.3898,0.7743,0.0000,0.0000,0.0000,11.7,9,14,8.2,2,13,159,1.1312,102
10130,1042.3,1900.0,162916,0.5195,0.0008,0.1240,0.0852,0.1273,0.0000,5.3174,0.7253,0.0000,0.0000,0.0000,11.8,9,14,8.2,2,13,190,1.0564,95
10140,981.8,2000.0,157796,0.5755,0.0002,0.0947,0.1218,0.0433,0.0000,5.1967,0.6163,0.0000,0.0000,0.0000,11.7,10,14,6.2,2,13,204,1.0522,118
10150,977.7,1950.0,157056,0.5374,0.0001,0.0892,0.1123,0.1347,0.0000,5.0895,0.7056,0.0000,0.0000,0.0000,11.5,10,14,7.0,2,13,186,1.0425,91
10160,965.2,1900.0,156510,0.5034,0.0002,0.1036,0.1080,-0.0818,0.0000,5.0906,0.7398,0.0000,0.0000,0.0000,11.5,10,14,6.0,2,13,242,1.1345,132
10170,1005.3,1950.0,162692,0.4961,0.0008,0.1108,0.0954,0.1004,0.0000,5.0936,0.6684,0.0000,0.0000,0.0000,11.5,10,14,5.3,2,13,193,1.0187,133
10180,990.5,1856.8,153911,0.4786,0.0004,0.1111,0.0998,0.0790,0.0000,4.5530,0.7835,0.0000,0.0000,0.0000,11.5,10,14,5.5,2,13,205,1.0200,95
10190,1030.5,2500.0,163731,0.4744,0.0004,0.1186,0.1495,0.0980,0.0000,4.5168,0.7671,0.0000,0.0000,0.0000,11.5,10,14,4.5,2,13,184,0.8055,81
10200,1018.8,2100.0,162793,0.5260,0.0001,0.1194,0.1159,0.1033,0.0000,4.5650,0.7505,0.0000,0.0000,0.0000,11.5,10,13,3.6,2,8,184,0.6000,85
10210,863.9,1900.0,148857,0.5187,0.0001,0.1079,0.0887,0.0539,0.0000,4.6424,0.6539,0.0000,0.0000,0.0000,11.4,10,14,3.8,2,9,230,0.6843,93
10220,986.9,1850.0,164637,0.5064,0.0002,0.1099,0.1129,0.1069,0.0000,1.6374,0.7312,0.0000,0.0000,0.0000,11.5,10,13,4.0,2,10,179,0.9424,102
10230,969.7,1950.0,154596,0.5054,0.0001,0.1194,0.0926,0.1863,0.0000,0.7276,0.7933,0.0000,0.0000,0.0000,11.3,10,14,3.9,2,10,238,0.8244,132
10240,995.4,2250.0,158574,0.5418,0.0003,0.1019,0.0697,0.0729,0.0000,0.4875,0.7884,0.0000,0.0000,0.0000,11.4,9,14,4.6,2,10,235,1.0687,103
10250,998.1,2400.0,154549,0.5506,0.0002,0.1013,0.0696,-0.0026,0.0460,0.3847,0.8253,0.0000,0.0000,0.0000,11.5,9,13,5.0,2,10,207,1.1413,94
10260,1010.4,1800.0,163949,0.5392,0.0003,0.1005,0.0940,0.0428,0.0000,0.3891,0.7728,0.0000,0.0000,0.0000,11.9,9,14,4.8,2,10,177,1.2707,84
10270,1000.5,1950.0,155095,0.4930,0.0001,0.1262,0.0611,0.0504,0.0000,0.3613,0.7870,0.0000,0.0000,0.0000,11.6,10,14,5.1,2,11,203,1.1046,118
10280,1017.7,2000.0,160758,0.5183,0.0002,0.1190,0.0965,0.1418,0.0000,0.5980,0.8004,0.0000,0.0000,0.0000,11.5,10,13,4.3,2,11,208,0.8224,92
10290,1077.4,2100.0,165985,0.4716,0.0001,0.1238,0.0960,0.0463,0.0000,0.6507,0.6443,0.0000,0.0000,0.0000,11.6,9,15,5.0,2,12,198,1.0065,101
